user_id,gym_id,checkin_time,checkout_time,workout_type,calories_burned
user_3291,gym_6,2023-09-10 15:55:00,2023-09-10 16:34:00,Weightlifting,462
user_1944,gym_2,2023-04-13 20:07:00,2023-04-13 22:43:00,Yoga,1278
user_958,gym_7,2023-06-10 12:24:00,2023-06-10 13:49:00,Cardio,858
user_811,gym_2,2023-05-23 17:11:00,2023-05-23 20:01:00,Yoga,1134
user_4923,gym_10,2023-02-21 06:20:00,2023-02-21 08:02:00,Weightlifting,1049
user_1534,gym_5,2023-02-05 19:33:00,2023-02-05 22:18:00,CrossFit,1482
user_4431,gym_8,2023-06-10 13:08:00,2023-06-10 14:07:00,Cardio,1618
user_410,gym_1,2023-03-26 14:04:00,2023-03-26 16:03:00,Yoga,751
user_54,gym_10,2023-04-06 06:17:00,2023-04-06 09:10:00,Swimming,706
user_4797,gym_7,2023-02-15 19:37:00,2023-02-15 21:02:00,Weightlifting,713
user_1099,gym_3,2023-09-15 17:45:00,2023-09-15 18:45:00,Swimming,556
user_2397,gym_7,2023-07-27 16:07:00,2023-07-27 18:09:00,Yoga,454
user_975,gym_10,2023-05-06 11:41:00,2023-05-06 14:14:00,CrossFit,1069
user_4489,gym_8,2023-04-06 17:32:00,2023-04-06 19:22:00,Yoga,886
user_4650,gym_10,2023-05-01 15:05:00,2023-05-01 15:59:00,Cardio,379
user_2895,gym_5,2023-02-09 20:47:00,2023-02-09 22:33:00,Pilates,737
user_3280,gym_3,2023-05-10 14:08:00,2023-05-10 16:24:00,Pilates,556
user_4922,gym_6,2023-05-29 16:01:00,2023-05-29 17:06:00,Pilates,1930
user_4840,gym_7,2023-03-23 19:35:00,2023-03-23 22:20:00,Swimming,511
user_2225,gym_1,2023-04-09 08:31:00,2023-04-09 09:36:00,Weightlifting,813
user_2559,gym_10,2023-02-22 17:48:00,2023-02-22 20:29:00,Cardio,730
user_3691,gym_4,2023-10-14 17:05:00,2023-10-14 19:45:00,Pilates,1636
user_139,gym_4,2023-01-26 18:24:00,2023-01-26 19:11:00,CrossFit,432
user_3174,gym_3,2023-01-31 10:53:00,2023-01-31 13:09:00,Yoga,1296
user_2521,gym_3,2023-07-12 10:31:00,2023-07-12 13:06:00,Weightlifting,1192
user_4638,gym_4,2023-06-16 08:57:00,2023-06-16 11:46:00,CrossFit,321
user_2242,gym_6,2023-01-16 07:34:00,2023-01-16 08:28:00,CrossFit,1079
user_3828,gym_5,2023-02-11 06:54:00,2023-02-11 07:49:00,Cardio,1714
user_1338,gym_10,2023-08-11 16:42:00,2023-08-11 19:27:00,Cardio,273
user_4090,gym_6,2023-05-07 08:18:00,2023-05-07 08:57:00,Swimming,501
user_2853,gym_7,2023-05-01 18:52:00,2023-05-01 20:19:00,Yoga,704
user_2295,gym_6,2023-07-21 14:42:00,2023-07-21 16:31:00,CrossFit,932
user_2678,gym_4,2023-08-27 11:06:00,2023-08-27 12:13:00,CrossFit,951
user_73,gym_2,2023-01-17 12:51:00,2023-01-17 13:26:00,Yoga,667
user_2879,gym_4,2023-04-04 09:23:00,2023-04-04 10:28:00,Weightlifting,1431
user_2142,gym_6,2023-10-15 07:43:00,2023-10-15 09:25:00,Pilates,735
user_4531,gym_4,2023-08-09 15:17:00,2023-08-09 15:55:00,Weightlifting,1018
user_1807,gym_8,2023-03-25 12:11:00,2023-03-25 13:43:00,Pilates,1373
user_2046,gym_1,2023-10-13 07:49:00,2023-10-13 10:07:00,Yoga,627
user_3503,gym_7,2023-04-05 14:36:00,2023-04-05 17:00:00,Yoga,717
user_4553,gym_6,2023-09-23 12:18:00,2023-09-23 13:47:00,Weightlifting,779
user_3502,gym_4,2023-09-15 13:12:00,2023-09-15 14:34:00,Swimming,491
user_2277,gym_1,2023-09-11 13:12:00,2023-09-11 15:10:00,Weightlifting,1254
user_2078,gym_6,2023-10-15 12:56:00,2023-10-15 15:00:00,Swimming,764
user_1649,gym_2,2023-02-16 13:01:00,2023-02-16 15:48:00,Weightlifting,364
user_335,gym_10,2023-09-03 06:02:00,2023-09-03 07:50:00,Pilates,364
user_4756,gym_3,2023-01-07 14:10:00,2023-01-07 15:28:00,Cardio,525
user_4665,gym_6,2023-09-01 06:50:00,2023-09-01 08:15:00,Yoga,438
user_4273,gym_5,2023-06-28 11:45:00,2023-06-28 12:49:00,Weightlifting,1350
user_2872,gym_3,2023-06-19 11:05:00,2023-06-19 12:03:00,CrossFit,504
user_2616,gym_5,2023-04-18 13:42:00,2023-04-18 15:36:00,Weightlifting,1564
user_4873,gym_5,2023-08-03 07:56:00,2023-08-03 08:33:00,Cardio,617
user_4173,gym_3,2023-04-13 20:49:00,2023-04-13 21:33:00,Swimming,189
user_933,gym_9,2023-05-19 12:01:00,2023-05-19 13:07:00,Weightlifting,220
user_636,gym_10,2023-04-22 13:40:00,2023-04-22 16:19:00,CrossFit,672
user_3230,gym_7,2023-06-24 17:28:00,2023-06-24 19:35:00,Cardio,493
user_1191,gym_5,2023-02-08 15:14:00,2023-02-08 18:12:00,Yoga,683
user_12,gym_3,2023-07-05 06:22:00,2023-07-05 08:30:00,Cardio,935
user_4003,gym_2,2023-04-30 18:11:00,2023-04-30 20:35:00,Cardio,1721
user_4927,gym_9,2023-09-21 08:14:00,2023-09-21 10:17:00,Pilates,635
user_1450,gym_8,2023-08-14 14:10:00,2023-08-14 16:58:00,CrossFit,1733
user_449,gym_6,2023-06-24 07:23:00,2023-06-24 09:59:00,Cardio,524
user_2497,gym_7,2023-05-29 20:53:00,2023-05-29 22:29:00,Weightlifting,574
user_427,gym_6,2023-05-18 15:57:00,2023-05-18 17:23:00,Cardio,311
user_916,gym_5,2023-10-05 15:49:00,2023-10-05 18:44:00,Cardio,470
user_3170,gym_3,2023-04-30 10:07:00,2023-04-30 11:31:00,CrossFit,575
user_4727,gym_2,2023-09-12 10:31:00,2023-09-12 12:35:00,Swimming,1744
user_4322,gym_4,2023-04-22 13:45:00,2023-04-22 16:31:00,Pilates,940
user_447,gym_7,2023-02-23 12:46:00,2023-02-23 14:27:00,Pilates,1196
user_1911,gym_9,2023-03-10 19:52:00,2023-03-10 22:12:00,Cardio,1055
user_3736,gym_9,2023-10-15 06:41:00,2023-10-15 09:16:00,Weightlifting,334
user_2251,gym_5,2023-03-25 12:41:00,2023-03-25 14:04:00,Cardio,1221
user_4771,gym_1,2023-01-17 07:01:00,2023-01-17 09:45:00,Cardio,1223
user_2682,gym_7,2023-06-06 17:24:00,2023-06-06 18:25:00,Pilates,899
user_1402,gym_9,2023-03-02 13:45:00,2023-03-02 15:24:00,Yoga,1275
user_3408,gym_1,2023-03-05 06:56:00,2023-03-05 08:52:00,Cardio,587
user_1044,gym_2,2023-06-21 06:31:00,2023-06-21 07:44:00,Swimming,409
user_3019,gym_6,2023-03-02 18:58:00,2023-03-02 20:48:00,Cardio,1601
user_392,gym_6,2023-06-27 14:38:00,2023-06-27 17:21:00,Swimming,487
user_4820,gym_9,2023-03-01 12:26:00,2023-03-01 14:26:00,CrossFit,974
user_1286,gym_6,2023-07-26 20:09:00,2023-07-26 21:26:00,CrossFit,1236
user_4110,gym_6,2023-03-02 13:55:00,2023-03-02 14:46:00,CrossFit,1223
user_2435,gym_3,2023-05-15 11:21:00,2023-05-15 12:07:00,CrossFit,503
