user_id,user_type,signup_date
user_1,casual,2025-02-20
user_2,at_risk,2025-02-09
user_3,sporadic,2025-01-07
user_4,casual,2025-02-01
user_5,consistent,2025-02-17
user_6,consistent,2025-01-19
user_7,consistent,2025-01-06
user_8,at_risk,2025-01-20
user_9,casual,2025-01-27
user_10,sporadic,2025-02-22
user_11,consistent,2025-02-12
user_12,at_risk,2025-02-06
user_13,sporadic,2025-02-17
user_14,consistent,2025-01-07
user_15,consistent,2025-02-28
user_16,consistent,2025-01-05
user_17,casual,2025-01-11
user_18,casual,2025-01-15
user_19,casual,2025-01-03
user_20,consistent,2025-02-27
user_21,casual,2025-01-05
user_22,consistent,2025-01-23
user_23,consistent,2025-02-22
user_24,casual,2025-02-06
user_25,casual,2025-01-09
user_26,sporadic,2025-01-15
user_27,consistent,2025-01-03
user_28,casual,2025-01-29
user_29,casual,2025-01-06
user_30,consistent,2025-01-17
user_31,casual,2025-01-26
user_32,consistent,2025-01-21
user_33,consistent,2025-01-08
user_34,at_risk,2025-01-21
user_35,at_risk,2025-02-26
user_36,sporadic,2025-01-11
user_37,casual,2025-02-07
user_38,consistent,2025-01-08
user_39,sporadic,2025-02-11
user_40,casual,2025-01-24
user_41,consistent,2025-02-04
user_42,casual,2025-02-24
user_43,consistent,2025-01-14
user_44,at_risk,2025-02-24
user_45,consistent,2025-01-14
user_46,sporadic,2025-01-10
user_47,casual,2025-01-12
user_48,casual,2025-02-07
user_49,casual,2025-02-13
user_50,consistent,2025-02-24
user_51,at_risk,2025-02-15
user_52,sporadic,2025-02-03
user_53,at_risk,2025-02-10
user_54,at_risk,2025-01-10
user_55,casual,2025-02-27
user_56,at_risk,2025-01-17
user_57,consistent,2025-01-17
user_58,consistent,2025-01-03
user_59,consistent,2025-01-31
user_60,casual,2025-02-20
user_61,casual,2025-01-01
user_62,consistent,2025-01-12
user_63,sporadic,2025-02-08
user_64,casual,2025-01-04
user_65,consistent,2025-02-11
user_66,casual,2025-01-13
user_67,consistent,2025-02-03
user_68,sporadic,2025-02-11
user_69,consistent,2025-01-21
user_70,at_risk,2025-01-22
user_71,sporadic,2025-02-26
user_72,consistent,2025-01-04
user_73,consistent,2025-01-18
user_74,sporadic,2025-01-05
user_75,sporadic,2025-01-19
user_76,sporadic,2025-01-02
user_77,sporadic,2025-01-12
user_78,consistent,2025-01-17
user_79,casual,2025-01-10
user_80,consistent,2025-02-03
user_81,at_risk,2025-01-06
user_82,casual,2025-01-08
user_83,casual,2025-02-20
user_84,consistent,2025-01-11
user_85,casual,2025-02-26
user_86,casual,2025-01-12
user_87,sporadic,2025-01-09
user_88,casual,2025-01-02
user_89,at_risk,2025-01-08
user_90,casual,2025-02-27
user_91,consistent,2025-01-11
user_92,sporadic,2025-03-01
user_93,sporadic,2025-02-22
user_94,casual,2025-02-05
user_95,sporadic,2025-01-10
user_96,casual,2025-01-21
user_97,casual,2025-01-20
user_98,casual,2025-02-17
user_99,consistent,2025-01-08
user_100,consistent,2025-02-05
user_101,consistent,2025-01-29
user_102,casual,2025-02-11
user_103,casual,2025-01-12
user_104,casual,2025-01-14
user_105,at_risk,2025-02-17
user_106,consistent,2025-02-23
user_107,casual,2025-02-19
user_108,sporadic,2025-01-21
user_109,consistent,2025-01-22
user_110,consistent,2025-01-21
user_111,consistent,2025-02-13
user_112,consistent,2025-02-19
user_113,at_risk,2025-01-30
user_114,sporadic,2025-02-08
user_115,casual,2025-01-20
user_116,at_risk,2025-01-24
user_117,sporadic,2025-01-23
user_118,consistent,2025-01-07
user_119,at_risk,2025-01-09
user_120,casual,2025-01-01
user_121,sporadic,2025-01-26
user_122,at_risk,2025-02-07
user_123,casual,2025-02-07
user_124,consistent,2025-02-23
user_125,consistent,2025-02-13
user_126,casual,2025-01-22
user_127,sporadic,2025-02-13
user_128,at_risk,2025-01-10
user_129,consistent,2025-02-24
user_130,casual,2025-02-27
user_131,casual,2025-01-06
user_132,consistent,2025-01-17
user_133,consistent,2025-02-20
user_134,casual,2025-02-19
user_135,at_risk,2025-02-07
user_136,casual,2025-01-24
user_137,casual,2025-02-20
user_138,sporadic,2025-01-10
user_139,casual,2025-02-25
user_140,at_risk,2025-01-08
user_141,at_risk,2025-01-21
user_142,consistent,2025-02-25
