"user_id";"total_checkins";"active_days";"first_checkin";"last_checkin";"avg_training_duratation";"avg_calories_burned";"workout_type_count";"total_checkins_post_signup";"first_checkin_post_signup";"last_checkin_post_signup";"days_since_last_checkin";"churned"
"user_1";40;37;"2025-03-10 13:34:25";"2025-12-23 19:18:23";91.45;727.25;1;40;"2025-03-10 13:34:25";"2025-12-23 19:18:23";7;0
"user_10";32;31;"2025-03-16 20:06:32";"2025-12-30 12:40:38";85.9688;689.5625;2;32;"2025-03-16 20:06:32";"2025-12-30 12:40:38";0;0
"user_100";103;87;"2025-02-06 04:29:27";"2025-12-29 04:51:32";92.3398;739.1068;2;103;"2025-02-06 04:29:27";"2025-12-29 04:51:32";1;0
"user_1000";53;50;"2025-01-12 01:16:56";"2025-12-16 12:26:58";90.0189;713.9057;1;53;"2025-01-12 01:16:56";"2025-12-16 12:26:58";14;0
"user_1001";70;59;"2025-01-15 20:31:41";"2025-08-16 21:50:33";88.0429;719.3143;2;70;"2025-01-15 20:31:41";"2025-08-16 21:50:33";136;1
"user_1002";59;56;"2025-02-12 02:27:56";"2025-12-28 14:46:53";94.8136;780.7627;1;59;"2025-02-12 02:27:56";"2025-12-28 14:46:53";2;0
"user_1003";18;17;"2025-03-06 00:25:46";"2025-12-18 12:34:02";79.3889;642.6111;1;18;"2025-03-06 00:25:46";"2025-12-18 12:34:02";12;0
"user_1004";18;18;"2025-02-28 02:44:26";"2025-12-11 15:55:59";83.3333;635.4444;1;18;"2025-02-28 02:44:26";"2025-12-11 15:55:59";19;0
"user_1005";30;27;"2025-02-20 04:52:38";"2025-12-28 18:15:06";86.2333;681.1333;1;30;"2025-02-20 04:52:38";"2025-12-28 18:15:06";2;0
"user_1006";22;22;"2025-01-19 04:57:24";"2025-12-29 22:56:17";95.4091;797.3182;2;22;"2025-01-19 04:57:24";"2025-12-29 22:56:17";1;0
"user_1007";29;29;"2025-01-28 05:47:40";"2025-12-28 09:53:48";92.6207;740.6897;1;29;"2025-01-28 05:47:40";"2025-12-28 09:53:48";2;0
"user_1008";26;24;"2025-02-12 05:44:18";"2025-12-18 00:03:32";90.1538;705.2308;2;26;"2025-02-12 05:44:18";"2025-12-18 00:03:32";12;0
"user_1009";61;48;"2025-01-16 13:26:39";"2025-07-08 09:24:27";90.2131;723.8525;2;61;"2025-01-16 13:26:39";"2025-07-08 09:24:27";175;1
"user_101";60;54;"2025-01-29 20:08:36";"2025-06-25 17:05:13";88.5167;708.95;1;60;"2025-01-29 20:08:36";"2025-06-25 17:05:13";188;1
"user_1010";40;39;"2025-02-23 22:57:35";"2025-12-14 14:41:59";86.35;688.9;1;40;"2025-02-23 22:57:35";"2025-12-14 14:41:59";16;0
"user_1011";73;61;"2025-02-09 22:33:05";"2025-09-20 20:28:49";87.3014;722.3288;2;73;"2025-02-09 22:33:05";"2025-09-20 20:28:49";101;1
"user_1012";11;10;"2025-02-12 13:14:30";"2025-12-05 00:22:03";98.4545;835.6364;1;11;"2025-02-12 13:14:30";"2025-12-05 00:22:03";25;1
"user_1013";18;18;"2025-02-06 18:24:48";"2025-12-30 20:41:54";98.7778;887.6111;2;18;"2025-02-06 18:24:48";"2025-12-30 20:41:54";0;0
"user_1014";60;51;"2025-01-29 20:17:23";"2025-06-19 04:38:13";87.4333;736.8167;2;60;"2025-01-29 20:17:23";"2025-06-19 04:38:13";194;1
"user_1015";27;26;"2025-01-06 10:22:16";"2025-12-18 12:45:20";86.4444;693.2963;1;27;"2025-01-06 10:22:16";"2025-12-18 12:45:20";12;0
"user_1016";8;8;"2025-02-05 02:48:06";"2025-12-05 05:13:56";87.25;676.0;2;8;"2025-02-05 02:48:06";"2025-12-05 05:13:56";25;1
"user_1017";71;62;"2025-01-17 07:01:38";"2025-08-16 22:41:26";89.0986;718.9437;1;71;"2025-01-17 07:01:38";"2025-08-16 22:41:26";136;1
"user_1018";44;43;"2025-02-10 11:12:41";"2025-12-24 00:19:32";82.5227;653.1364;2;44;"2025-02-10 11:12:41";"2025-12-24 00:19:32";6;0
"user_1019";17;16;"2025-02-01 08:53:07";"2025-12-16 12:54:16";91.7647;743.0588;2;17;"2025-02-01 08:53:07";"2025-12-16 12:54:16";14;0
